control_stress	beta_power	gamma_power	alpha_power	reported_anxiety	participant_number	beta_power_scaled	gamma_power_scaled	alpha_power_scaled	ID
0	1.00707550561356	1.53735112087902	-0.313266871162152	0	1	0.876838610169382	1.17342829911794	-0.195093825074442	1
0	-0.939018990932638	-0.001702303269388	-0.479515984915895	0	1	-0.770776624561028	-0.0201940994978665	-0.30950701009908	2
0	-0.261492512739209	0.550235380342393	-0.128746912280211	0	1	-0.197164731928951	0.407864583496635	-0.0681065845435268	3
0	-0.282046597736503	-1.29023986722381	0.531303210185364	0	1	-0.214566365630494	-1.01952737387388	0.386142073281203	4
0	1.46183523427437	-0.95277479827819	-2.03941902514689	0	1	1.26185026217969	-0.757804253205213	-1.38303739551099	5
0	-1.04341002402476	-0.340804777443929	1.0343828089323	0	1	-0.859156842889108	-0.283187119915421	0.732363102157261	6
0	-0.893803357620358	0.106100671166194	-0.217544951073743	0	1	-0.732495869733598	0.0634131638399328	-0.129217685907702	7
0	0.579431413588315	0.7861783899345	5.32517348590947	0	1	0.514783775569257	0.590851643352463	3.68529931061225	8
0	1.20889227127716	4.22467783139713	0.358273178585732	0	1	1.04770203860078	3.25760114441589	0.267062238368207	9
0	0.228322383213648	-0.213327852440411	-0.447496656760251	0	1	0.217525554797658	-0.184321602576373	-0.287471203507877	10
0	-0.71169910981615	0.162092894947099	0.349904449245752	0	1	-0.578321581936257	0.106838279176769	0.261302851405011	11
0	-1.15722809326195	1.27933608612009	1.17930080934486	0	1	-0.955518240136573	0.9733231436791	0.832096145060351	12
0	-0.958373544509507	0.315846982591753	2.77963420078939	0	1	-0.787162703135964	0.226083212466167	1.93345083070196	13
0	-0.873397325813132	-0.39645308708825	-0.872152125563018	0	1	-0.715219581790927	-0.326345510517309	-0.579720489093987	14
0	-0.205044235651064	-0.159397697191797	0.417680127525292	0	1	-0.149374122855357	-0.142495737238922	0.307946295355356	15
0	-0.483071331605204	-0.268382046486108	-0.082861703163423	0	1	-0.384759238930074	-0.227019223152504	-0.036528233224616	16
0	-1.40129322348313	0.817290003387997	-1.36348990939747	0	1	-1.16215025493983	0.614980447520336	-0.91786076245939	17
0	-1.00058656979581	-1.62260389096574	0.400297322036905	0	1	-0.822901370343135	-1.27729434739655	0.295983391640056	18
0	0.501552547147303	-0.119840844809378	-1.7896395682397	0	1	0.4488494609512	-0.11181717580528	-1.21113835452839	19
0	0.678680055677805	1.61207159370612	0.438432835551121	0	1	0.598810309236127	1.23137822379384	0.322228377042953	20
0	-0.478834913486888	-0.400898006684557	-1.09683681396494	0	1	-0.381172574950081	-0.329792795391863	-0.734349228134429	21
0	1.6076682417623	-0.15644057011127	0.764453283216138	0	1	1.38531635557345	-0.140202319048567	0.546596717771464	22
0	0.218088490825535	-1.29277321199595	2.65908697281097	0	1	0.208861269975327	-1.02149212507484	1.85048983327173	23
0	-0.431631613176726	2.10071435827318	-0.316263966057163	0	1	-0.341209008505284	1.61034814098922	-0.19715643560521	24
0	-0.257524697085404	-0.808644848377087	-0.951249026467079	0	1	-0.193805473921997	-0.646023379446056	-0.634155235563774	25
